Runner,Name,Age,Country,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
127,BARTEAUX BRUCE,57,CAN,7,7,8,6,6,7,6,5,6,5,5,5,5,5,4,5,4,4,4,4,3,4,4,5
128,CARVER DAVID,51,CAN,7,8,0,0,1,0,1,1,2,1,2,3,1,2,2,2,0,1,0,0,0,0,0,0
129,ASHIZAWA JEFF,47,CAN,7,8,8,6,7,6,6,5,6,5,4,5,4,4,4,6,6,3,4,4,5,4,5,6
130,BOHDAL JAROSLAV,36,CZE,6,7,8,6,7,7,7,6,6,4,7,4,4,5,4,4,2,2,4,3,1,2,2,2
131,SVOZIL LIBOR,42,CZE,6,6,7,6,6,6,6,6,5,5,5,6,5,5,3,3,2,1,0,0,5,4,3,3
132,OSLADIL MIROSLAV,60,CZE,6,6,7,5,6,6,6,5,6,5,5,5,4,5,5,4,5,4,4,3,4,4,3,3
133,SIEGEL JOSEF,54,CZE,6,7,8,6,7,7,6,6,6,5,6,5,5,5,5,5,4,4,4,3,4,4,4,5
134,LASSEN FREDERIK,39,DEN,6,7,8,6,7,7,7,7,6,7,7,6,6,6,7,6,6,5,6,6,5,1,0,0
135,JENSEN BJARNE R.,52,DEN,6,8,7,6,7,5,6,6,5,6,5,6,5,5,5,4,5,4,3,2,0,0,4,5
136,KIRKELUND VAGN,48,DEN,6,6,5,4,4,4,4,0,4,3,3,2,3,2,2,2,2,2,1,2,3,1,2,4
137,LARSEN RENÌä KOCH,38,DEN,6,7,7,6,6,6,6,5,6,5,6,5,5,4,2,3,1,0,0,0,0,0,0,3
138,HANSEN LEON SKRIVER,40,DEN,6,7,8,5,7,7,6,6,6,5,3,6,4,5,4,3,2,1,0,0,0,0,0,0
139,STEENBERG-HANSEN THOMAS,37,DEN,6,7,8,5,7,7,6,6,6,6,5,6,6,5,5,6,6,6,5,5,6,4,5,5
140,JÌ÷RGENSEN MATHIAS,30,DEN,6,7,7,6,8,6,7,6,6,7,5,6,6,5,5,3,3,0,0,0,0,0,0,0
141,DE LA MATA GARCÌçA ANGEL MARCOS,55,ESP,6,8,7,6,6,6,4,6,5,5,3,0,0,0,2,4,3,2,0,0,3,2,0,3
142,RODRIGUEZ SANTIAGO JOSE MANUEL,49,ESP,7,7,9,6,8,8,7,7,7,7,7,7,6,6,6,5,6,5,6,6,5,6,5,6
143,MANSO CRESPO JOSE,40,ESP,7,6,8,6,9,8,8,7,7,5,4,5,4,0,5,5,6,5,7,7,6,7,7,8
144,POSADO PEREZ JOSE LUIS,58,ESP,8,8,9,7,7,6,7,6,6,6,6,4,6,5,5,5,5,5,5,5,6,6,5,5
145,LOZANO VELASCO JAVIER,38,ESP,7,6,7,5,7,6,6,6,6,5,6,5,6,5,5,5,5,5,5,4,5,5,4,6
146,NUÌÔEZ RODRIGUEZ LUIS ALBERTO,47,ESP,6,7,8,6,7,6,6,6,6,5,5,5,5,4,6,5,5,3,5,5,4,5,5,7
147,GALVAN ISAAC FERMIN,52,ESP,6,7,7,5,7,6,5,6,5,5,6,5,5,5,5,4,5,5,4,6,5,5,4,7
148,VENNIKAS PEETER,63,EST,6,7,7,5,7,6,6,5,5,3,2,5,2,0,0,0,0,0,1,4,4,3,5,6
149,KIRPPU PEETER,59,EST,6,6,7,4,5,6,4,5,4,4,5,5,4,3,4,3,3,3,3,4,5,5,4,5
150,VELLERIND RAIN,41,EST,6,6,7,5,6,6,5,4,6,6,3,0,2,5,4,6,6,3,4,4,7,3,5,6
151,LUUD AIVAR,41,EST,5,6,7,5,5,6,5,6,5,5,6,5,5,5,6,4,5,4,5,5,6,5,4,5
152,POLL CRIS,22,EST,5,6,7,5,5,6,5,6,5,5,6,5,5,5,6,6,5,4,4,3,3,4,3,5
153,MAASIKRAND MART,41,EST,5,6,6,6,5,6,5,5,4,5,5,5,2,5,4,4,4,5,3,5,4,5,4,5
154,SIIMUMÌãE MARGO,32,EST,5,6,7,5,5,4,5,4,4,3,3,2,2,2,0,2,0,0,4,2,1,1,2,5
155,HIETANEN JUHA,41,FIN,7,7,8,7,7,6,7,6,6,7,6,6,6,6,7,5,6,6,6,7,6,6,6,7
156,KLASILA JANNE,33,FIN,7,8,8,7,8,7,8,7,7,7,7,7,6,7,6,6,6,6,1,0,0,0,0,0
157,LINDSTEN ARI,50,FIN,6,6,7,6,7,6,6,6,7,6,7,5,6,4,5,5,6,5,6,6,6,6,6,7
158,PERTTILÌã PETRI,41,FIN,6,7,8,5,7,7,7,6,6,7,6,6,6,5,5,4,5,1,1,5,3,2,1,0
159,SOIKKELI JARI,42,FIN,7,7,8,7,7,7,7,6,7,7,6,6,6,5,6,4,2,2,3,2,2,1,1,0
160,TOMPPO JARI,46,FIN,7,7,9,6,8,7,7,6,7,7,7,7,6,6,7,6,7,6,6,7,6,7,6,8
161,HYPPÌ_LÌã TERO,46,FIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,BORDUS JEAN MARC,52,FRA,7,8,9,6,8,7,7,7,7,7,4,6,4,4,3,4,3,3,4,3,1,1,1,1
163,DILMI LUDOVIC,47,FRA,7,9,8,7,8,8,8,7,7,7,7,7,7,6,7,6,6,6,6,6,7,6,6,7
164,DOURIEZ THIERRY,48,FRA,6,7,8,6,7,7,6,7,6,6,7,6,7,5,6,5,5,6,5,5,5,5,5,6
165,FONTAINE EMMANUEL,44,FRA,7,7,8,6,8,7,7,7,7,7,7,7,6,7,7,6,6,6,6,6,7,6,7,7
166,HARRUIS JEAN FRANCOIS,53,FRA,7,8,8,7,7,8,7,6,7,5,7,6,6,5,7,5,6,6,7,7,7,7,6,8
167,MOREL DENIS,39,FRA,7,8,9,7,8,7,7,7,7,7,7,6,6,6,4,5,5,3,2,2,1,1,1,1
168,PARES JOHN,46,GBR,7,7,8,6,7,6,7,5,6,4,7,2,5,5,5,5,2,4,3,5,3,2,3,3
169,CARVER CHRISTOPHER,48,GBR,7,7,8,6,8,7,7,6,7,7,6,7,7,7,6,6,6,5,5,6,5,5,4,4
170,ROBBINS PATRICK,40,GBR,6,7,8,6,7,6,7,7,6,7,7,7,6,6,7,7,6,7,6,7,6,7,6,7
171,HOLYOAK STEVE,48,GBR,7,7,8,6,7,6,7,6,6,6,7,6,6,7,6,6,6,6,7,7,6,6,6,7
172,HILZINGER MICHAEL,NA,GER,6,7,8,6,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,HÌ_SL PATRICK,39,GER,6,7,7,6,6,7,6,7,7,6,7,7,6,7,6,7,6,7,7,6,7,7,6,8
174,HORSCHIG KAI,46,GER,7,7,7,7,7,6,7,7,7,6,7,3,0,0,0,0,0,0,0,4,6,2,0,3
175,LEU OLIVER,38,GER,7,7,7,7,7,7,6,7,7,7,7,6,6,6,7,6,6,4,1,5,1,0,0,3
176,REUS FLORIAN,28,GER,7,7,7,7,7,7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7
177,VANICEK MICHAEL,44,GER,6,7,8,6,8,6,8,7,6,7,7,7,6,6,7,7,6,6,7,7,7,7,6,7
178,KOUROS IOANNIS,56,GRE,7,8,9,6,7,8,7,7,7,7,6,7,5,6,7,5,6,6,5,5,6,5,5,7
179,CHALKIAS VASILEIOS,58,GRE,8,6,2,0,0,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
